,age,title,sum,count
7577,70,Fargo (1996),13,3
7600,70,"Ice Storm, The (1997)",13,3
7524,70,Air Force One (1997),11,3
7538,70,Arsenic and Old Lace (1944),10,2
7581,70,Four Weddings and a Funeral (1994),10,2
7591,70,"Great Dictator, The (1940)",10,2
7528,70,"American President, The (1995)",9,2
7531,70,Annie Hall (1977),9,2
7562,70,Dial M for Murder (1954),9,2
7567,70,Emma (1996),9,2
7569,70,"English Patient, The (1996)",9,2
7578,70,"Fish Called Wanda, A (1988)",9,2
7606,70,Kolya (1996),9,2
7636,70,"Quiet Man, The (1952)",9,2
7652,70,"Silence of the Lambs, The (1991)",9,2
7672,70,When Harry Met Sally... (1989),9,2
7674,70,"Wings of the Dove, The (1997)",9,2
7541,70,Back to the Future (1985),8,2
7558,70,Cyrano de Bergerac (1990),8,2
7592,70,Groundhog Day (1993),8,2
7613,70,M*A*S*H (1970),8,2
7635,70,Pulp Fiction (1994),8,2
7643,70,"Return of the Pink Panther, The (1974)",8,2
7650,70,Seven Years in Tibet (1997),8,2
7661,70,Titanic (1997),8,2
7535,70,"Apostle, The (1997)",7,2
7545,70,Being There (1979),7,2
7560,70,"Devil's Advocate, The (1997)",7,2
7561,70,"Devil's Own, The (1997)",7,2
7579,70,Fly Away Home (1996),7,2
7583,70,"Full Monty, The (1997)",7,2
7586,70,Get Shorty (1995),7,2
7624,70,Mother (1996),7,2
7666,70,Ulee's Gold (1997),7,2
7574,70,Evita (1996),6,2
7614,70,Mad City (1997),6,2
7628,70,Murder at 1600 (1997),6,2
7670,70,Volcano (1997),6,2
7522,70,"African Queen, The (1951)",5,1
7527,70,Amadeus (1984),5,1
7532,70,"Apartment, The (1960)",5,1
7533,70,Apocalypse Now (1979),5,1
7546,70,Boogie Nights (1997),5,1
7548,70,"Bridge on the River Kwai, The (1957)",5,1
7550,70,Butch Cassidy and the Sundance Kid (1969),5,1
7551,70,Casablanca (1942),5,1
7552,70,Cinema Paradiso (1988),5,1
7568,70,"Empire Strikes Back, The (1980)",5,1
7571,70,Eve's Bayou (1997),5,1
7575,70,Fantasia (1940),5,1
7576,70,Farewell My Concubine (1993),5,1
7589,70,"Good, The Bad and The Ugly, The (1966)",5,1
7594,70,Henry V (1989),5,1
7626,70,Mrs. Doubtfire (1993),5,2
7639,70,Rebel Without a Cause (1955),5,1
7641,70,"Remains of the Day, The (1993)",5,1
7642,70,Return of the Jedi (1983),5,1
7649,70,Secrets & Lies (1996),5,1
7656,70,Star Trek: First Contact (1996),5,1
7665,70,Toy Story (1995),5,1
7667,70,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",5,1
7520,70,"20,000 Leagues Under the Sea (1954)",4,1
7521,70,"39 Steps, The (1935)",4,1
7525,70,Alien (1979),4,1
7529,70,Anastasia (1997),4,1
7534,70,Apollo 13 (1995),4,1
7537,70,Around the World in 80 Days (1956),4,1
7547,70,Braveheart (1995),4,1
7553,70,Circle of Friends (1995),4,1
7557,70,Crash (1996),4,1
7559,70,Dave (1993),4,1
7563,70,Die Hard (1988),4,1
7565,70,Duck Soup (1933),4,1
7570,70,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",4,1
7587,70,"Godfather: Part II, The (1974)",4,1
7593,70,Hamlet (1996),4,1
7598,70,"Hunchback of Notre Dame, The (1996)",4,1
7602,70,In the Company of Men (1997),4,1
7603,70,Indiana Jones and the Last Crusade (1989),4,1
7608,70,L.A. Confidential (1997),4,1
7612,70,"Lost World: Jurassic Park, The (1997)",4,1
7615,70,"Maltese Falcon, The (1941)",4,1
7616,70,"Manchurian Candidate, The (1962)",4,1
7617,70,Manhattan (1979),4,1
7620,70,Midnight in the Garden of Good and Evil (1997),4,1
7625,70,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",4,1
7630,70,Nikita (La Femme Nikita) (1990),4,1
7631,70,"People vs. Larry Flynt, The (1996)",4,1
7632,70,"Philadelphia Story, The (1940)",4,1
7634,70,"Princess Bride, The (1987)",4,1
7637,70,"Rainmaker, The (1997)",4,1
7638,70,Raising Arizona (1987),4,1
7645,70,Sabrina (1954),4,1
7653,70,Sleepless in Seattle (1993),4,1
7655,70,"Star Maker, The (Uomo delle stelle, L') (1995)",4,1
7657,70,Star Wars (1977),4,1
7659,70,"Streetcar Named Desire, A (1951)",4,1
7662,70,To Die For (1995),4,1
7664,70,To Kill a Mockingbird (1962),4,1
7668,70,Vertigo (1958),4,1
7671,70,Wag the Dog (1997),4,1
7526,70,Aliens (1986),3,1
7536,70,Apt Pupil (1998),3,1
7539,70,As Good As It Gets (1997),3,1
7540,70,Babe (1995),3,1
7542,70,Basic Instinct (1992),3,1
7549,70,"Brothers McMullen, The (1995)",3,1
7554,70,Clerks (1994),3,1
7555,70,Clueless (1995),3,1
7556,70,Cop Land (1997),3,1
7572,70,"Evening Star, The (1996)",3,1
7573,70,Event Horizon (1997),3,1
7584,70,"Game, The (1997)",3,1
7588,70,Good Will Hunting (1997),3,1
7590,70,"Graduate, The (1967)",3,1
7597,70,How to Make an American Quilt (1995),3,1
7607,70,Kundun (1997),3,1
7611,70,Local Hero (1983),3,1
7618,70,Marvin's Room (1996),3,1
7619,70,Men in Black (1997),3,1
7622,70,"Mirror Has Two Faces, The (1996)",3,1
7629,70,Muriel's Wedding (1994),3,1
7633,70,"Price Above Rubies, A (1998)",3,1
7646,70,Sabrina (1995),3,1
7651,70,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",3,1
7654,70,Speed 2: Cruise Control (1997),3,1
7660,70,Tin Men (1987),3,1
7669,70,Victor/Victoria (1982),3,1
7673,70,While You Were Sleeping (1995),3,1
7530,70,Anna Karenina (1997),2,1
7543,70,Bean (1997),2,1
7580,70,Forget Paris (1995),2,1
7582,70,French Kiss (1995),2,1
7585,70,George of the Jungle (1997),2,1
7595,70,Home Alone 3 (1997),2,1
7596,70,Home for the Holidays (1995),2,1
7599,70,I.Q. (1994),2,1
7601,70,In & Out (1997),2,1
7605,70,Kiss the Girls (1997),2,1
7610,70,Liar Liar (1997),2,1
7621,70,Mimic (1997),2,1
7623,70,Mortal Kombat: Annihilation (1997),2,1
7627,70,Multiplicity (1996),2,1
7640,70,Red Corner (1997),2,1
7658,70,Starship Troopers (1997),2,1
7663,70,To Gillian on Her 37th Birthday (1996),2,1
7523,70,Air Bud (1997),1,1
7544,70,"Beautician and the Beast, The (1997)",1,1
7564,70,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1,1
7566,70,Dumb & Dumber (1994),1,1
7604,70,Jungle2Jungle (1997),1,1
7609,70,Leave It to Beaver (1997),1,1
7644,70,Rocket Man (1997),1,1
7647,70,"Saint, The (1997)",1,1
7648,70,Schindler's List (1993),1,1
6902,60,"English Patient, The (1996)",82,21
6987,60,"Godfather, The (1972)",66,16
6922,60,Fargo (1996),60,15
6963,60,"Full Monty, The (1997)",50,12
7441,60,Titanic (1997),50,13
6861,60,Dead Man Walking (1995),48,12
7403,60,"Sting, The (1973)",47,10
7086,60,L.A. Confidential (1997),46,11
6670,60,Air Force One (1997),44,12
7067,60,Jerry Maguire (1996),43,12
7343,60,Sense and Sensibility (1995),41,10
7347,60,Seven Years in Tibet (1997),40,10
6681,60,Amadeus (1984),38,8
6862,60,Dead Poets Society (1989),38,9
6950,60,Forrest Gump (1994),38,10
7366,60,Singin' in the Rain (1952),38,8
7496,60,When Harry Met Sally... (1989),38,10
6775,60,"Bridge on the River Kwai, The (1957)",37,8
6911,60,Evita (1996),37,11
7335,60,Schindler's List (1993),37,8
6761,60,"Boot, Das (1981)",36,8
7399,60,Star Wars (1977),36,9
6745,60,"Birdcage, The (1996)",35,9
6892,60,E.T. the Extra-Terrestrial (1982),35,8
7116,60,M*A*S*H (1970),35,8
7245,60,Patton (1970),35,9
7342,60,Secrets & Lies (1996),35,8
6829,60,Contact (1997),34,9
7021,60,High Noon (1952),34,8
7287,60,Raiders of the Lost Ark (1981),34,8
6811,60,Citizen Kane (1941),33,7
7149,60,Men in Black (1997),33,8
6951,60,Four Weddings and a Funeral (1994),32,8
6995,60,"Graduate, The (1967)",32,7
7336,60,Scream (1996),32,9
6685,60,Amistad (1997),31,8
